transaction_id,date,timestamp,store_location,category,unit_price,quantity,total_amount,customer_id,customer_segment,payment_method,discount_percentage,sales_representative,day_of_week,month,quarter,is_weekend,has_injected_anomaly
TXN_1b1cd570,2025-05-11,2025-05-11 18:40:17,Store_A,Electronics,780.35,3,2341.05,CUST_0141,Budget,Credit Card,7.0,Rep_5,Sunday,May,Q2,True,False
TXN_0bc5c886,2024-08-01,2024-08-01 18:40:17,Store_D,Home,86.44,1,86.44,CUST_0016,Premium,Credit Card,0.0,Rep_5,Thursday,August,Q3,False,False
TXN_fa553a89,2024-07-01,2024-07-01 18:40:17,Store_B,Home,434.43,2,868.86,CUST_0333,Budget,Cash,0.0,Rep_4,Monday,July,Q3,False,False
TXN_fe0acbe2,2025-04-15,2025-04-15 18:40:17,Store_A,Food,48.53,3,145.59,CUST_0217,Premium,Credit Card,0.0,Rep_3,Tuesday,April,Q2,False,False
TXN_fe5eaac9,2024-08-09,2024-08-09 18:40:17,Store_D,Electronics,643.27,1,643.27,CUST_0184,Premium,Cash,99.81322637264267,Rep_1,Friday,August,Q3,False,True
TXN_be3a71f3,2025-02-08,2025-02-08 18:40:17,Store_A,Home,152.7,1,152.7,CUST_0041,Regular,Debit Card,0.0,Rep_5,Saturday,February,Q1,True,False
TXN_3341d2ca,2024-12-20,2024-12-20 18:40:17,Store_B,Home,179.69,2,359.38,CUST_0036,Budget,Credit Card,0.0,Rep_3,Friday,December,Q4,False,False
TXN_895c1726,2024-07-28,2024-07-28 18:40:17,Store_A,Clothing,110.13,1,110.13,CUST_0143,Regular,Debit Card,0.0,Rep_2,Sunday,July,Q3,True,False
TXN_854b5352,2024-12-24,2024-12-24 18:40:17,Store_B,Food,34.9,4,139.6,CUST_0137,Budget,Cash,0.0,Rep_1,Tuesday,December,Q4,False,False
TXN_967af4e3,2025-04-25,2025-04-25 18:40:17,Store_E,Clothing,33.07,2,66.14,CUST_0126,Budget,Credit Card,0.0,Rep_5,Friday,April,Q2,False,False
TXN_a46c6365,2024-10-08,2024-10-08 18:40:17,Store_A,Food,25.26,2,50.52,CUST_0017,Premium,Cash,0.0,Rep_1,Tuesday,October,Q4,False,False
TXN_c44d3b2b,2024-10-04,2024-10-04 18:40:17,Store_C,Home,334.64,1,334.64,CUST_0256,Premium,Credit Card,0.0,Rep_4,Friday,October,Q4,False,False
TXN_a8da5453,2024-08-30,2024-08-30 18:40:17,Store_B,Food,27.79,7,194.53,CUST_0288,Premium,Debit Card,0.0,Rep_4,Friday,August,Q3,False,False
TXN_741635be,2025-04-12,2025-04-12 18:40:17,Store_C,Books,23.62,1,23.62,CUST_0071,Premium,Debit Card,5.9,Rep_1,Saturday,April,Q2,True,False
TXN_25cf365c,2024-09-04,2024-09-04 18:40:17,Store_D,Clothing,75.19,1,75.19,CUST_0033,Budget,Credit Card,0.0,Rep_4,Wednesday,September,Q3,False,False
TXN_4e297295,2025-03-15,2025-03-15 18:40:17,Store_E,Food,41.61,3,124.83,CUST_0059,Premium,Debit Card,0.0,Rep_3,Saturday,March,Q1,True,False
TXN_db0e628e,2025-05-12,2025-05-12 18:40:17,Store_A,Food,40.31,3,120.93,CUST_0223,Regular,Credit Card,19.4,Rep_3,Monday,May,Q2,False,False
TXN_64f57f0d,2025-03-01,2025-03-01 18:40:17,Store_E,Clothing,16.02,4,64.08,CUST_0321,Premium,Credit Card,0.0,Rep_5,Saturday,March,Q1,True,False
TXN_da6cf39a,2024-09-27,2024-09-27 18:40:17,Store_C,Clothing,81.32,1,81.32,CUST_0277,Premium,Mobile Pay,0.0,Rep_1,Friday,September,Q3,False,False
TXN_5e5dd3e2,2025-04-20,2025-04-20 18:40:17,Store_D,Food,43.29,2,86.58,CUST_0058,Premium,Mobile Pay,0.0,Rep_3,Sunday,April,Q2,True,False
TXN_bbca00a3,2024-10-18,2024-10-18 18:40:17,Store_B,Electronics,656.42,1,656.42,CUST_0041,Budget,Credit Card,0.0,Rep_1,Friday,October,Q4,False,False
TXN_9e0d24c1,2025-03-17,2025-03-17 18:40:17,Store_B,Clothing,132.95,2,265.9,CUST_0244,Budget,Mobile Pay,0.0,Rep_5,Monday,March,Q1,False,False
TXN_9f3df09e,2025-04-24,2025-04-24 18:40:17,Store_B,Books,72.76,3,218.28,CUST_0103,Budget,Cash,0.0,Rep_3,Thursday,April,Q2,False,False
TXN_eed27e00,2025-01-28,2025-01-28 18:40:17,Store_D,Home,266.14,1,266.14,CUST_0127,Premium,Credit Card,0.0,Rep_5,Tuesday,January,Q1,False,False
TXN_d1a18c4e,2025-03-28,2025-03-28 18:40:17,Store_E,Clothing,34.96,1,34.96,CUST_0004,Premium,Credit Card,0.0,Rep_2,Friday,March,Q1,False,False
TXN_2ae040e1,2024-07-22,2024-07-22 18:40:17,Store_C,Electronics,1291.0,1,1291.0,CUST_0264,Premium,Credit Card,0.0,Rep_2,Monday,July,Q3,False,False
TXN_a087a622,2025-03-21,2025-03-21 18:40:17,Store_E,Clothing,182.9,1,182.9,CUST_0243,Budget,Credit Card,0.0,Rep_4,Friday,March,Q1,False,False
TXN_3c7d0152,2024-09-23,2024-09-23 18:40:17,Store_A,Electronics,1523.32,1,1523.32,CUST_0221,Budget,Credit Card,0.0,Rep_1,Monday,September,Q3,False,False
TXN_2197cd88,2025-05-28,2025-05-28 18:40:17,Store_A,Electronics,200.11,1,200.11,CUST_0174,Regular,Cash,8.8,Rep_5,Wednesday,May,Q2,False,False
TXN_85e25206,2025-02-02,2025-02-02 18:40:17,Store_D,Clothing,44.83,5,224.15,CUST_0143,Premium,Debit Card,0.0,Rep_1,Sunday,February,Q1,True,False
TXN_2d5f12c9,2025-01-30,2025-01-30 18:40:17,Store_A,Home,447.35,3,1342.05,CUST_0277,Premium,Cash,0.0,Rep_2,Thursday,January,Q1,False,False
TXN_edd1e4fe,2024-09-11,2024-09-11 18:40:17,Store_D,Books,15.45,1,15.45,CUST_0110,Regular,Cash,0.0,Rep_2,Wednesday,September,Q3,False,False
TXN_8f35fb28,2024-12-29,2024-12-29 18:40:17,Store_D,Electronics,2092.84,1,2092.84,CUST_0233,Regular,Credit Card,0.0,Rep_5,Sunday,December,Q4,True,False
TXN_0b024300,2025-05-22,2025-05-22 18:40:17,Store_B,Books,53.52,1,53.52,CUST_0152,Premium,Credit Card,19.7,Rep_1,Thursday,May,Q2,False,False
TXN_f286da5a,2024-11-25,2024-11-25 18:40:17,Store_A,Electronics,331.27,2,662.54,CUST_0245,Budget,Debit Card,0.0,Rep_2,Monday,November,Q4,False,False
TXN_7a69c1ed,2024-07-17,2024-07-17 18:40:17,Store_A,Home,354.48,3,1063.44,CUST_0036,Premium,Debit Card,0.0,Rep_2,Wednesday,July,Q3,False,False
TXN_10d4c456,2025-01-10,2025-01-10 18:40:17,Store_E,Electronics,1019.63,1,1019.63,CUST_0297,Premium,Debit Card,0.0,Rep_4,Friday,January,Q1,False,False
TXN_f12c83a7,2025-05-20,2025-05-20 18:40:17,Store_E,Home,149.57,1,149.57,CUST_0162,Budget,Mobile Pay,0.0,Rep_3,Tuesday,May,Q2,False,False
TXN_f92608aa,2024-10-18,2024-10-18 18:40:17,Store_D,Food,30.87,1,30.87,CUST_0331,Premium,Credit Card,0.0,Rep_1,Friday,October,Q4,False,False
TXN_05f2eb5d,2024-06-22,2024-06-22 18:40:17,Store_E,Books,31.47,2,62.94,CUST_0052,Budget,Credit Card,0.0,Rep_3,Saturday,June,Q2,True,False
TXN_b1132f9b,2024-08-24,2024-08-24 18:40:17,Store_A,Food,24.98,4,99.92,CUST_0190,Premium,Credit Card,0.0,Rep_5,Saturday,August,Q3,True,False
TXN_5dd946bc,2025-06-13,2025-06-13 18:40:17,Store_E,Food,36.68,4,146.72,CUST_0271,Budget,Credit Card,0.0,Rep_3,Friday,June,Q2,False,False
TXN_e3e32db5,2025-05-23,2025-05-23 18:40:17,Store_B,Electronics,1678.84,1,1678.84,CUST_0060,Regular,Cash,0.0,Rep_2,Friday,May,Q2,False,False
